ID,Form_ID,Form,Cognateset_ID,Doubt,Cognate_Detection_Method,Source,Alignment,Alignment_Method,Alignment_Source
WOT-27_hatchetaxe-1-1,WOT-27_hatchetaxe-1,balta,28,false,expert,wot,b a l t a,library,
H-28_paganidolstoneorwoodenpillarverticalbeamofdifferentwoodeninstrumentsstrongcorpulentperson-1-1,H-28_paganidolstoneorwoodenpillarverticalbeamofdifferentwoodeninstrumentsstrongcorpulentperson-1,bálvány,29,false,expert,wot,b aː l v aː ɲ,library,
EAH-28_paganidolstoneorwoodenpillarverticalbeamofdifferentwoodeninstrumentsstrongcorpulentperson-1-1,EAH-28_paganidolstoneorwoodenpillarverticalbeamofdifferentwoodeninstrumentsstrongcorpulentperson-1,balvan,29,false,expert,wot,b a l v a n,library,
WOT-28_paganidolstoneorwoodenpillarverticalbeamofdifferentwoodeninstrumentsstrongcorpulentperson-1-1,WOT-28_paganidolstoneorwoodenpillarverticalbeamofdifferentwoodeninstrumentsstrongcorpulentperson-1,balvan,29,false,expert,wot,b a l v a n,library,
H-29_governorofcroatiagovernorofthesouthernmarches-1-1,H-29_governorofcroatiagovernorofthesouthernmarches-1,bán,30,false,expert,wot,b aː - - n,library,
WOT-29_governorofcroatiagovernorofthesouthernmarches-1-1,WOT-29_governorofcroatiagovernorofthesouthernmarches-1,bayan,30,false,expert,wot,b a j a n,library,
H-30_toregrettobesorry-1-1,H-30_toregrettobesorry-1,bán,31,false,expert,wot,b aː - - n,library,
EAH-30_toregrettobesorry-1-1,EAH-30_toregrettobesorry-1,baγin,31,false,expert,wot,b a ɣ i n,library,
WOT-30_toregrettobesorry-1-1,WOT-30_toregrettobesorry-1,bagïn,31,false,expert,wot,b a ɡ ɯ n,library,
H-31_hairybushyofdogsabighairydogasnoun-1-1,H-31_hairybushyofdogsabighairydogasnoun-1,barág,32,false,expert,wot,b ɒ r aː ɡ,library,
EAH-31_hairybushyofdogsabighairydogasnoun-1-1,EAH-31_hairybushyofdogsabighairydogasnoun-1,barag,32,false,expert,wot,b a r a ɡ,library,
H-32_labeltag-1-1,H-32_labeltag-1,bárca,33,false,expert,wot,b aː r t͡s ɒ,library,
EAH-32_labeltag-1-1,EAH-32_labeltag-1,bāsa,33,false,expert,wot,b aː - s a,library,
H-33_cattlelivestock-1-1,H-33_cattlelivestock-1,barom,34,false,expert,wot,b ɒ r o m,library,
EAH-33_cattlelivestock-1-1,EAH-33_cattlelivestock-1,barum,34,false,expert,wot,b a r u m,library,
WOT-33_cattlelivestock-1-1,WOT-33_cattlelivestock-1,barum,34,false,expert,wot,b a r u m,library,
H-34_velvet-1-1,H-34_velvet-1,bársony,35,false,expert,wot,b aː r ʃ o ɲ,library,
OH-34_velvet-1-1,OH-34_velvet-1,baršun,35,false,expert,wot,b a r ʃ u n,library,
EAH-34_velvet-1-1,EAH-34_velvet-1,barčun,35,false,expert,wot,b a r t͡ʃ u n,library,
WOT-34_velvet-1-1,WOT-34_velvet-1,barčun,35,false,expert,wot,b a r t͡ʃ u n,library,
H-35_tofuck-1-1,H-35_tofuck-1,baszik,36,false,expert,wot,b ɒ s i k,library,
EAH-35_tofuck-1-1,EAH-35_tofuck-1,bas,36,false,expert,wot,b a s - -,library,
WOT-35_tofuck-1-1,WOT-35_tofuck-1,bas,36,false,expert,wot,b a s - -,library,
H-36_courageousbravevaliant-1-1,H-36_courageousbravevaliant-1,bátor,37,false,expert,wot,b aː - - t o r,library,
EAH-36_courageousbravevaliant-1-1,EAH-36_courageousbravevaliant-1,baγatur,37,false,expert,wot,b a ɣ a t u r,library,
WOT-36_courageousbravevaliant-1-1,WOT-36_courageousbravevaliant-1,baγatur,37,false,expert,wot,b a ɣ a t u r,library,
H-37_toestimatetoesteemtoappreciate-1-1,H-37_toestimatetoesteemtoappreciate-1,bëcsül,38,false,expert,wot,b e t͡ʃ y l,library,
EAH-37_toestimatetoesteemtoappreciate-1-1,EAH-37_toestimatetoesteemtoappreciate-1,bečel,38,false,expert,wot,b ɛ t͡ʃ ɛ l,library,
WOT-37_toestimatetoesteemtoappreciate-1-1,WOT-37_toestimatetoesteemtoappreciate-1,bičil,38,false,expert,wot,b i t͡ʃ i l,library,
H-38_frog-1-1,H-38_frog-1,béka,39,false,expert,wot,b eː k ɒ,library,
EAH-38_frog-1-1,EAH-38_frog-1,baka,39,false,expert,wot,b a k a,library,
WOT-38_frog-1-1,WOT-38_frog-1,baka,39,false,expert,wot,b a k a,library,
H-40_hobbleshacklelegiron-1-1,H-40_hobbleshacklelegiron-1,békó,40,false,expert,wot,b eː k oː - -,library,
EAH-40_hobbleshacklelegiron-1-1,EAH-40_hobbleshacklelegiron-1,bikaγu,40,false,expert,wot,b i k a ɣ u,library,
WOT-40_hobbleshacklelegiron-1-1,WOT-40_hobbleshacklelegiron-1,bïkaγu,40,false,expert,wot,b ɯ k a ɣ u,library,
H-40_hobbleshacklelegiron-2-1,H-40_hobbleshacklelegiron-2,béklyó,41,false,expert,wot,b eː k - j oː,library,
EAH-40_hobbleshacklelegiron-2-1,EAH-40_hobbleshacklelegiron-2,bikaγu,41,false,expert,wot,b i k a ɣ u,library,
WOT-40_hobbleshacklelegiron-2-1,WOT-40_hobbleshacklelegiron-2,bïkaγu,41,false,expert,wot,b ɯ k a ɣ u,library,
H-41_stampbondmark-1-1,H-41_stampbondmark-1,bélyeg,42,false,expert,wot,b eː j ɛ ɡ,library,
OH-41_stampbondmark-1-1,OH-41_stampbondmark-1,bēlʹeg,42,false,expert,wot,b eː j ɛ ɡ,library,
EAH-41_stampbondmark-1-1,EAH-41_stampbondmark-1,beleg,42,false,expert,wot,b ɛ l ɛ ɡ,library,
WOT-41_stampbondmark-1-1,WOT-41_stampbondmark-1,bäläg,42,false,expert,wot,b ɛ l ɛ ɡ,library,
H-42_wagerent-1-1,H-42_wagerent-1,bér,43,false,expert,wot,b eː r -,library,
EAH-42_wagerent-1-1,EAH-42_wagerent-1,bērü,43,false,expert,wot,b eː r y,library,
WOT-42_wagerent-1-1,WOT-42_wagerent-1,berü,43,false,expert,wot,b ɛ r y,library,
H-43_nameofapeople-1-1,H-43_nameofapeople-1,bercel,44,false,expert,wot,b ɛ r t͡s ɛ l,library,
OH-43_nameofapeople-1-1,OH-43_nameofapeople-1,bercel,44,false,expert,wot,b ɛ r t͡s ɛ l,library,
EAH-43_nameofapeople-1-1,EAH-43_nameofapeople-1,bersil,44,false,expert,wot,b ɛ r s i l,library,
WOT-43_nameofapeople-1-1,WOT-43_nameofapeople-1,Bärsil,44,false,expert,wot,b ɛ r s i l,library,
H-44_grainorsmallglobuleofpreciousmetal-1-1,H-44_grainorsmallglobuleofpreciousmetal-1,bertű,45,false,expert,wot,b ɛ r t yː -,library,
OH-44_grainorsmallglobuleofpreciousmetal-1-1,OH-44_grainorsmallglobuleofpreciousmetal-1,börtǖ,45,false,expert,wot,b ø r t yː -,library,
LAH-44_grainorsmallglobuleofpreciousmetal-1-1,LAH-44_grainorsmallglobuleofpreciousmetal-1,börteü̯,45,false,expert,wot,b ø r t ɛ w,library,
EAH-44_grainorsmallglobuleofpreciousmetal-1-1,EAH-44_grainorsmallglobuleofpreciousmetal-1,bürtiγ,45,false,expert,wot,b y r t i ɣ,library,
WOT-44_grainorsmallglobuleofpreciousmetal-1-1,WOT-44_grainorsmallglobuleofpreciousmetal-1,bürtiγ,45,false,expert,wot,b y r t i ɣ,library,
H-45_abirdofprey-1-1,H-45_abirdofprey-1,bese,46,false,expert,wot,b ɛ ʃ ɛ,library,
EAH-45_abirdofprey-1-1,EAH-45_abirdofprey-1,beše,46,false,expert,wot,b ɛ ʃ ɛ,library,
WOT-45_abirdofprey-1-1,WOT-45_abirdofprey-1,bäšä,46,false,expert,wot,b ɛ ʃ ɛ,library,
H-46_pechenegnameofatribe-1-1,H-46_pechenegnameofatribe-1,besenyő,47,false,expert,wot,b ɛ ʃ ɛ ɲ øː -,library,
OH-46_pechenegnameofatribe-1-1,OH-46_pechenegnameofatribe-1,bešeneü̯,47,false,expert,wot,b ɛ ʃ ɛ n ɛ w,library,
EAH-46_pechenegnameofatribe-1-1,EAH-46_pechenegnameofatribe-1,bešeneγ,47,false,expert,wot,b ɛ ʃ ɛ n ɛ ɣ,library,
WOT-46_pechenegnameofatribe-1-1,WOT-46_pechenegnameofatribe-1,bäčänäg,47,false,expert,wot,b ɛ t͡ʃ ɛ n ɛ ɡ,library,
H-47_letterofthealphabet-1-1,H-47_letterofthealphabet-1,betű,48,false,expert,wot,b ɛ t yː -,library,
OH-47_letterofthealphabet-1-1,OH-47_letterofthealphabet-1,beteü̯,48,false,expert,wot,b ɛ t ɛ w,library,
EAH-47_letterofthealphabet-1-1,EAH-47_letterofthealphabet-1,bitiγ,48,false,expert,wot,b i t i ɣ,library,
WOT-47_letterofthealphabet-1-1,WOT-47_letterofthealphabet-1,bitig,48,false,expert,wot,b i t i ɡ,library,
H-50_pocketknife-1-1,H-50_pocketknife-1,bicsak,49,false,expert,wot,b i t͡ʃ ɒ k,library,
EAH-50_pocketknife-1-1,EAH-50_pocketknife-1,bičak,49,false,expert,wot,b i t͡ʃ a k,library,
WOT-50_pocketknife-1-1,WOT-50_pocketknife-1,bïčak,49,false,expert,wot,b ɯ t͡ʃ a k,library,
H-50_pocketknife-2-1,H-50_pocketknife-2,bicsak,50,false,expert,wot,b i t͡ʃ ɒ k -,library,
EAH-50_pocketknife-2-1,EAH-50_pocketknife-2,bičak,50,false,expert,wot,b i t͡ʃ a k -,library,
WOT-50_pocketknife-2-1,WOT-50_pocketknife-2,bïčkï,50,false,expert,wot,b ɯ t͡ʃ - k ɯ,library,
H-50_pocketknife-3-1,H-50_pocketknife-3,bicsak,51,false,expert,wot,b i t͡ʃ ɒ k -,library,
EAH-50_pocketknife-3-1,EAH-50_pocketknife-3,bičak,51,false,expert,wot,b i t͡ʃ a k -,library,
WOT-50_pocketknife-3-1,WOT-50_pocketknife-3,bičkä,51,false,expert,wot,b i t͡ʃ - k ɛ,library,
H-51_bull-1-1,H-51_bull-1,bika,52,false,expert,wot,b i k ɒ,library,
EAH-51_bull-1-1,EAH-51_bull-1,bika,52,false,expert,wot,b i k a,library,
WOT-51_bull-1-1,WOT-51_bull-1,bïka,52,false,expert,wot,b ɯ k a,library,
H-52_shackles-1-1,H-52_shackles-1,bilincs,53,false,expert,wot,b i l i n t͡ʃ - -,library,
OH-52_shackles-1-1,OH-52_shackles-1,bilinček,53,false,expert,wot,b i l i n t͡ʃ ɛ k,library,
EAH-52_shackles-1-1,EAH-52_shackles-1,bileček,53,false,expert,wot,b i l ɛ - t͡ʃ ɛ k,library,
WOT-52_shackles-1-1,WOT-52_shackles-1,biläčäk,53,false,expert,wot,b i l ɛ - t͡ʃ ɛ k,library,
H-53_judge-1-1,H-53_judge-1,bíró,54,false,expert,wot,b iː r oː -,library,
OH-53_judge-1-1,OH-53_judge-1,birō,54,false,expert,wot,b i r oː -,library,
EAH-53_judge-1-1,EAH-53_judge-1,biruγ,54,false,expert,wot,b i r u ɣ,library,
WOT-53_judge-1-1,WOT-53_judge-1,bïrug,54,false,expert,wot,b ɯ r u ɡ,library,
H-54_tobeforgiven-1-1,H-54_tobeforgiven-1,bocsánik,55,false,expert,wot,b o - t͡ʃ aː n i k,library,
OH-54_tobeforgiven-1-1,OH-54_tobeforgiven-1,bočan,55,false,expert,wot,b o - t͡ʃ a n - -,library,
EAH-54_tobeforgiven-1-1,EAH-54_tobeforgiven-1,bolčan,55,false,expert,wot,b o l t͡ʃ a n - -,library,
WOT-54_tobeforgiven-1-1,WOT-54_tobeforgiven-1,bolčan,55,false,expert,wot,b o l t͡ʃ a n - -,library,
H-55_toforgive-1-1,H-55_toforgive-1,bocsát,56,false,expert,wot,b o - t͡ʃ aː t,library,
OH-55_toforgive-1-1,OH-55_toforgive-1,bulšat,56,false,expert,wot,b u l ʃ a t,library,
EAH-55_toforgive-1-1,EAH-55_toforgive-1,bulčat,56,false,expert,wot,b u l t͡ʃ a t,library,
WOT-55_toforgive-1-1,WOT-55_toforgive-1,bolčat,56,false,expert,wot,b o l t͡ʃ a t,library,
H-56_bucklerwithhandlehandleofdifferentarms-1-1,H-56_bucklerwithhandlehandleofdifferentarms-1,bóda,57,false,expert,wot,b oː - d ɒ -,library,
OH-56_bucklerwithhandlehandleofdifferentarms-1-1,OH-56_bucklerwithhandlehandleofdifferentarms-1,boldå,57,false,expert,wot,b o l d ɒ -,library,
EAH-56_bucklerwithhandlehandleofdifferentarms-1-1,EAH-56_bucklerwithhandlehandleofdifferentarms-1,baldaw,57,false,expert,wot,b a l d a v,library,
H-57_knotbend-1-1,H-57_knotbend-1,bog,58,false,expert,wot,b o ɡ,library,
EAH-57_knotbend-1-1,EAH-57_knotbend-1,bog,58,false,expert,wot,b o ɡ,library,
WOT-57_knotbend-1-1,WOT-57_knotbend-1,bog,58,false,expert,wot,b o ɡ,library,
H-58_stackofhay-1-1,H-58_stackofhay-1,boglya,59,false,expert,wot,b o ɡ - j ɒ -,library,
OH-58_stackofhay-1-1,OH-58_stackofhay-1,boglʹå,59,false,expert,wot,b o ɡ - j ɒ -,library,
LAH-58_stackofhay-1-1,LAH-58_stackofhay-1,bogulʹa,59,false,expert,wot,b o ɡ u j a -,library,
EAH-58_stackofhay-1-1,EAH-58_stackofhay-1,bogul,59,false,expert,wot,b o ɡ - - u l,library,
WOT-58_stackofhay-1-1,WOT-58_stackofhay-1,bogul,59,false,expert,wot,b o ɡ - - u l,library,
H-59_tasselfringetuftnode-1-1,H-59_tasselfringetuftnode-1,bojt,60,false,expert,wot,b o j - t,library,
OH-59_tasselfringetuftnode-1-1,OH-59_tasselfringetuftnode-1,buyt,60,false,expert,wot,b u j - t,library,
LAH-59_tasselfringetuftnode-1-1,LAH-59_tasselfringetuftnode-1,buγt,60,false,expert,wot,b u ɣ - t,library,
EAH-59_tasselfringetuftnode-1-1,EAH-59_tasselfringetuftnode-1,buγut,60,false,expert,wot,b u ɣ u t,library,
WOT-59_tasselfringetuftnode-1-1,WOT-59_tasselfringetuftnode-1,bogut,60,false,expert,wot,b o ɡ u t,library,
H-60_burdockarctiumsp-1-1,H-60_burdockarctiumsp-1,bojtorján,61,false,expert,wot,b o j t o r j aː n,library,
EAH-60_burdockarctiumsp-1-1,EAH-60_burdockarctiumsp-1,balturγan,61,false,expert,wot,b a l t u r ɣ a n,library,
WOT-60_burdockarctiumsp-1-1,WOT-60_burdockarctiumsp-1,balturgan,61,false,expert,wot,b a l t u r ɡ a n,library,
H-61_ankle-1-1,H-61_ankle-1,boka,62,false,expert,wot,b o k ɒ,library,
EAH-61_ankle-1-1,EAH-61_ankle-1,baka,62,false,expert,wot,b a k a,library,
WOT-61_ankle-1-1,WOT-61_ankle-1,baka,62,false,expert,wot,b a k a,library,
H-63_ankleboot-1-1,H-63_ankleboot-1,bakancs,63,false,expert,wot,b ɒ k ɒ n t͡ʃ,library,
EAH-63_ankleboot-1-1,EAH-63_ankleboot-1,bokå,63,false,expert,wot,b o k ɒ - -,library,
WOT-63_ankleboot-1-1,WOT-63_ankleboot-1,baka,63,false,expert,wot,b a k a - -,library,
H-63_ankleboot-2-1,H-63_ankleboot-2,bakancs,64,false,expert,wot,b ɒ k ɒ n t͡ʃ,library,
EAH-63_ankleboot-2-1,EAH-63_ankleboot-2,båkå,64,false,expert,wot,b ɒ k ɒ - -,library,
WOT-63_ankleboot-2-1,WOT-63_ankleboot-2,baka,64,false,expert,wot,b a k a - -,library,
H-64_anthill-1-1,H-64_anthill-1,boly,65,false,expert,wot,b o j - -,library,
OH-64_anthill-1-1,OH-64_anthill-1,bolʹ,65,false,expert,wot,b o j - -,library,
EAH-64_anthill-1-1,EAH-64_anthill-1,boγol,65,false,expert,wot,b o ɣ o l,library,
WOT-64_anthill-1-1,WOT-64_anthill-1,boγul,65,false,expert,wot,b o ɣ u l,library,
H-65_wine-1-1,H-65_wine-1,bor,66,false,expert,wot,b o r,library,
EAH-65_wine-1-1,EAH-65_wine-1,bor,66,false,expert,wot,b o r,library,
WOT-65_wine-1-1,WOT-65_wine-1,bor,66,false,expert,wot,b o r,library,
H-66_tocovertooverturn-1-1,H-66_tocovertooverturn-1,borít,67,false,expert,wot,b o r iː t,library,
EAH-66_tocovertooverturn-1-1,EAH-66_tocovertooverturn-1,bor,67,false,expert,wot,b o r - -,library,
WOT-66_tocovertooverturn-1-1,WOT-66_tocovertooverturn-1,bur,67,false,expert,wot,b u r - -,library,
H-67_cover-1-1,H-67_cover-1,burok,68,false,expert,wot,b u r o k,library,
EAH-67_cover-1-1,EAH-67_cover-1,bur,68,false,expert,wot,b u r - -,library,
WOT-67_cover-1-1,WOT-67_cover-1,bur,68,false,expert,wot,b u r - -,library,
H-68_calf-1-1,H-68_calf-1,borjú,69,false,expert,wot,b o r - j uː,library,
OH-68_calf-1-1,OH-68_calf-1,burγu,69,false,expert,wot,b u r - ɣ u,library,
EAH-68_calf-1-1,EAH-68_calf-1,buraγu,69,false,expert,wot,b u r a ɣ u,library,
WOT-68_calf-1-1,WOT-68_calf-1,buraγu,69,false,expert,wot,b u r a ɣ u,library,
H-69_pepper-1-1,H-69_pepper-1,bors,70,false,expert,wot,b o r ʃ,library,
EAH-69_pepper-1-1,EAH-69_pepper-1,burč,70,false,expert,wot,b u r t͡ʃ,library,
WOT-69_pepper-1-1,WOT-69_pepper-1,burč,70,false,expert,wot,b u r t͡ʃ,library,
H-70_peapisumsativumbean-1-1,H-70_peapisumsativumbean-1,borsó,71,false,expert,wot,b o r ʃ oː -,library,
